id,jp_city,mn_city,jp_lat,jp_lon,mn_lat,mn_lon,hasCIR,relation,summary,website,contact,activity_field,activity_detail
1,北海道旭川市,ウランバートル市,43.77,142.36,47.92,106.87,FALSE,JICA草の根技術協力,日本有数の積雪寒冷地である旭川市の経験を活かし、ウランバートル市における冬期の快適な歩行者空間づくりを支援する技術協力を行っています。,https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_06_t.pdf,旭川市役所 土木部<br>旭川市国際交流委員会,JICA草の根事業|行政・技術協力,"【2014年～20217年】 寒冷地における道路⼯事の品質確保プロジェクト,【平成23年～平成26年】寒冷地における都市開発技術改善事業"
2,北海道札幌市,ウランバートル市,43.06,141.35,47.92,106.87,FALSE,友好都市 (2024年〜),市民交流から始まった関係は、冬季スポーツや都市インフラ整備の技術協力へと発展。長年の交流を経て、2024年に正式な友好都市となりました。,https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_10_t.pdf|https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_01_t.pdf|https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_04_t.pdf|https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_04_c.pdf|https://www.hiecc.or.jp/,札幌・モンゴル交流協会<br>公益社団法人北海道国際交流・協力総合センター<br>ウランバートル消防技術支援事業実行委員会<br>空知エコ普及環づくり協議会<br>蒼いウランバートル技術支援実行委員会<br>JICA北海道,JICA草の根事業|行政・技術協力,【2016年～2018年】ウランバートル市送配⽔機能改善協⼒事業
2,北海道札幌市,ウランバートル市,43.06,141.35,47.92,106.87,FALSE,友好都市 (2024年〜),市民交流から始まった関係は、冬季スポーツや都市インフラ整備の技術協力へと発展。長年の交流を経て、2024年に正式な友好都市となりました。,https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_10_t.pdf|https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_01_t.pdf|https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_04_t.pdf|https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_04_c.pdf|https://www.hiecc.or.jp/,札幌・モンゴル交流協会<br>公益社団法人北海道国際交流・協力総合センター<br>ウランバートル消防技術支援事業実行委員会<br>空知エコ普及環づくり協議会<br>蒼いウランバートル技術支援実行委員会<br>JICA北海道,JICA草の根事業|行政・技術協力,【2013年～2016年】ウランバートル消防技術⽀援事業
2,北海道札幌市,ウランバートル市,43.06,141.35,47.92,106.87,FALSE,友好都市 (2024年〜),市民交流から始まった関係は、冬季スポーツや都市インフラ整備の技術協力へと発展。長年の交流を経て、2024年に正式な友好都市となりました。,https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_10_t.pdf|https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_01_t.pdf|https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_04_t.pdf|https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_04_c.pdf|https://www.hiecc.or.jp/,札幌・モンゴル交流協会<br>公益社団法人北海道国際交流・協力総合センター<br>ウランバートル消防技術支援事業実行委員会<br>空知エコ普及環づくり協議会<br>蒼いウランバートル技術支援実行委員会<br>JICA北海道,JICA草の根事業|農業・技術協力,【2014年～2016年】再⽣可能エネルギー（地中熱）省エネ施設園芸による野菜⽣産技術⽀援事業
2,北海道札幌市,ウランバートル市,43.06,141.35,47.92,106.87,FALSE,友好都市 (2024年〜),市民交流から始まった関係は、冬季スポーツや都市インフラ整備の技術協力へと発展。長年の交流を経て、2024年に正式な友好都市となりました。,https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_10_t.pdf|https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_01_t.pdf|https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_04_t.pdf|https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_04_c.pdf|https://www.hiecc.or.jp/,札幌・モンゴル交流協会<br>公益社団法人北海道国際交流・協力総合センター<br>ウランバートル消防技術支援事業実行委員会<br>空知エコ普及環づくり協議会<br>蒼いウランバートル技術支援実行委員会<br>JICA北海道,JICA草の根事業|農業・技術協力,【2013年～2016年】ウランバートル市植林技術⽀援事業
2,北海道札幌市,ウランバートル市,43.06,141.35,47.92,106.87,FALSE,友好都市 (2024年〜),市民交流から始まった関係は、冬季スポーツや都市インフラ整備の技術協力へと発展。長年の交流を経て、2024年に正式な友好都市となりました。,https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_10_t.pdf|https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_01_t.pdf|https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_04_t.pdf|https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_04_c.pdf|https://www.hiecc.or.jp/,札幌・モンゴル交流協会<br>公益社団法人北海道国際交流・協力総合センター<br>ウランバートル消防技術支援事業実行委員会<br>空知エコ普及環づくり協議会<br>蒼いウランバートル技術支援実行委員会<br>JICA北海道,行政・技術協力|環境・技術協力,積雪寒冷地である札幌の経験を活かし、都市計画、道路整備、暖房システムなどの分野で専門家を派遣し、ウランバートル市のインフラ整備に協力しています。
2,北海道札幌市,ウランバートル市,43.06,141.35,47.92,106.87,FALSE,友好都市 (2024年〜),市民交流から始まった関係は、冬季スポーツや都市インフラ整備の技術協力へと発展。長年の交流を経て、2024年に正式な友好都市となりました。,https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_10_t.pdf|https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_01_t.pdf|https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_04_t.pdf|https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_04_c.pdf|https://www.hiecc.or.jp/,札幌・モンゴル交流協会<br>公益社団法人北海道国際交流・協力総合センター<br>ウランバートル消防技術支援事業実行委員会<br>空知エコ普及環づくり協議会<br>蒼いウランバートル技術支援実行委員会<br>JICA北海道,教育・青少年交流|文化・スポーツ交流,青少年がお互いの都市を訪問する「さっぽろ・ウランバートル子ども交流事業」や、市民団による文化紹介、ウインタースポーツを通じた交流が盛んです。
3,北海道新ひだか町,ウランバートル市,42.34,142.37,47.92,106.87,FALSE,JICA草の根技術協力,ウランバートル市近郊で不法投棄されている家畜糞尿を堆肥化。現地の研修生を受け入れ、循環型農業の確立と環境保全を目指しています。,https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_05_t.pdf,新ひだか町役場<br>株式会社エコ・エネルギーシステム,JICA草の根事業|農業・技術協力,【2014年～2017年】 畜産糞尿利⽤による循環型農業の確⽴および環境保全事業
4,北海道新冠町,ウランバートル市ナライハ区,42.4,142.33,47.78,107.3,FALSE,友好都市,レスリングを通じたスポーツ交流が盛んです。,,,スポーツ,レスリングの強豪である両都市間で、選手の派遣や合同練習などのスポーツ交流を行っています。
5,北海道帯広市,モンゴル国（農業分野）,42.92,143.2,46.86,103.84,FALSE,学術・技術協力,「食と農」の専門知識が集まる帯広市の強みを活かし、帯広畜産大学が中心となってモンゴルの畜産・酪農分野の発展を支援。留学生の受入も活発です。,https://www.jica.go.jp/activities/schemes/partner/kusanone/country/project/n_files/mon_09_t.pdf|https://tokachi-obihiro.doyu.jp/,帯広畜産大学 国際交流センター<br>一般社団法人北海道中小企業同友会とかち支部<br>JICA北海道,JICA草の根事業|農業・技術協力,【2014年～2016年】農産物の安定供給のための貯蔵技術改善・普及プロジェクト
